"ลำดับ
ที่",ชื่อถนน,ช่วงถนนที่ทำการสำรวจ,อัตราเร็วเฉลี่ยในการเดินทางพื้นที่ชั้นในกรุงเทพมหานครในช่วงเร่งด่วน (กม./ชม.),,,,,,,,,,,,,,,,,
,,,ปี 2560,,ปี 2561,,ปี 2562,,ปี 2563,,ปี 2564,,ปี 2565,,ปี 2566,,ปี 2567,,ปี 2568,
,,,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก,ขาเข้า,ขาออก
1,จรัญสนิทวงศ์,สุดเขตกรุงเทพฯ  ถึง แยกมไหสวรรย์,23.12,23.55,23.08,25.05,24.91,22.86,23.07,21.49,27.06,28.33,29.86,30.92,29.99,34.72,27.55,32.49,26.21,30.76
2,เจริญกรุง (ส่วนต้น),แยกทรงวาด ถึง แยกวงเวียน รด.,13.75,11.88,15.47,12.53,17.31,14.87,17.30,14.35,17.67,15.87,16.93,16.08,15.34,16.01,12.48,15.46,12.50,14.14
3,เจริญกรุง (ส่วนปลาย),สุดถนนเจริญกรุง ถึง แยกทรงวาด,12.30,12.82,13.14,15.08,12.53,12.78,14.98,13.32,17.98,19.75,17.03,14.96,15.60,14.06,13.31,11.21,14.93,14.47
4,นครราชสีมา,แยกร่วมจิตต์ ถึง แยกประชาเกษม,14.79,12.39,15.50,15.34,16.08,17.22,14.07,13.69,17.70,17.31,14.74,13.80,13.59,12.65,13.54,14.92,10.89,13.43
5,นราธิวาสราชนครินทร์,แยกพระรามที่ 3-นราธิวาส ถึง แยกสุรวงศ์-นราธิวาส,11.90,17.01,12.68,16.41,10.22,13.13,12.38,15.97,16.43,20.60,12.25,16.97,13.72,16.49,11.60,15.93,13.66,16.54
6,ประชาสงเคราะห์,แยกตลาดห้วยขวาง ถึง ถนนจตุรทิศ,11.70,16.06,12.70,18.20,11.79,17.91,14.94,18.63,14.83,19.18,13.10,19.20,12.64,19.02,15.15,19.43,13.32,17.60
7,พญาไท,แยกอนุสาวรีย์ชัยฯ ถึง แยกสามย่าน,10.79,9.95,10.68,11.57,10.67,10.37,12.04,11.15,17.42,19.94,12.58,12.14,11.19,11.15,10.13,9.92,9.78,11.59
8,พระรามที่ 1,แยกเพลินจิต ถึง แยกกษัตริย์ศึก,10.89,8.09,10.26,9.58,10.85,10.21,15.80,12.49,15.39,12.36,14.27,9.15,14.46,10.76,13.04,10.64,11.90,9.59
9,พระรามที่ 4,แยกพระโขนง ถึง แยกหมอมี,15.37,17.75,15.65,16.33,14.80,14.83,14.38,16.88,20.65,22.57,17.05,17.42,16.83,18.65,14.21,16.08,15.71,15.92
10,พระรามที่ 5,แยกสะพานแดง ถึง แยกพาณิชยการ,17.00,16.46,15.83,15.63,16.54,16.56,16.64,17.89,20.95,20.72,15.40,18.17,15.90,16.11,15.32,17.06,14.90,14.97
11,พระรามที่ 6,แยกสะพานดำ ถึง แยกอุรุพงษ์,17.77,18.33,13.71,16.98,16.98,18.18,15.45,17.00,18.53,21.25,14.42,16.36,15.18,16.96,11.62,14.20,12.05,12.63
12,พหลโยธิน,แยกลาดพร้าว ถึง แยกอนุสาวรีย์ชัยฯ,15.96,16.76,17.12,16.53,17.40,18.00,19.51,21.73,24.71,25.45,19.40,22.62,17.35,20.42,16.43,21.80,15.73,24.58
13,พิษณุโลก,แยกยมราช ถึง แยกพิษณุโลก-สามเสน,20.80,9.96,21.55,10.88,20.21,10.36,24.98,13.24,26.15,14.95,24.23,13.94,23.54,13.12,23.68,12.87,22.20,14.19
14,เพชรบุรี,แยกอโศก-เพชร ถึง แยกยมราช,10.26,14.59,10.17,13.81,15.39,13.44,12.20,19.25,18.77,27.85,12.56,22.20,11.77,22.18,11.75,22.37,11.48,12.31
15,เยาวราช,แยกวงเวียนโอเดียน ถึง แยกเมอรี่คิงส์,15.28,เดินรถทางเดียว,15.17,เดินรถทางเดียว,16.29,เดินรถทางเดียว,16.28,เดินรถทางเดียว,17.96,เดินรถทางเดียว,16.45,เดินรถทางเดียว,16.01,เดินรถทางเดียว,16.48,เดินรถทางเดียว,14.16,เดินรถทางเดียว
16,ราชดำเนิน,แยกลานพระรูป ถึง แยกป้อมเผด็จดัสกร,10.56,10.68,15.76,13.12,12.55,10.96,13.19,10.60,17.90,14.33,15.09,13.38,14.58,14.35,15.24,13.91,15.71,13.24
17,ราชดำริ,แยกประตูน้ำ ถึง แยกศาลาแดง,10.01,11.32,10.68,12.45,10.37,12.59,14.18,13.39,15.91,16.90,12.02,13.68,12.74,12.13,12.29,10.53,12.88,14.84
18,ราชวิถี,แยกอนุสาวรีย์ชัยฯ ถึง แยกบางพลัด,12.91,10.52,16.18,12.25,16.32,13.20,15.97,11.42,22.23,18.68,12.32,11.46,17.92,10.28,13.47,8.46,12.10,7.62
19,วิภาวดีรังสิต,แยกลาดพร้าว ถึง แยกใต้ด่วนดินแดง,47.46,55.37,47.50,48.64,44.38,55.07,41.14,54.42,50.48,58.48,45.28,58.26,46.33,56.27,37.63,61.33,42.10,59.25
20,ศรีอยุธยา,แยกหมอเหล็ง ถึง แยกสี่เสาเทเวศร์,14.02,10.33,16.74,15.14,15.18,15.95,18.43,16.04,22.51,18.21,15.43,15.57,17.19,14.86,17.38,15.25,15.11,13.47
21,สวรรคโลก,แยกสามเสน ถึง แยกยมราช,11.13,12.31,14.84,16.25,14.67,17.49,16.66,15.94,18.02,17.94,13.53,16.16,12.58,15.33,14.04,16.44,12.90,11.77
22,สาทร,แยกวิทยุ ถึง แยกเฉลิมพันธุ์,10.13,9.27,8.91,8.90,8.85,8.33,11.46,9.72,12.27,12.88,11.03,9.89,12.50,10.65,12.33,10.71,12.33,9.94
23,สามเสน,แยกเกียกกาย ถึง แยกบางลำพู,13.00,14.94,16.25,16.14,12.41,13.69,15.06,15.69,20.83,17.50,15.59,17.18,10.82,12.99,12.26,เดินรถทางเดียว,10.46,เดินรถทางเดียว
24,สีลม,แยกศาลาแดง ถึง แยกบางรัก,12.85,10.06,9.86,9.56,10.17,8.66,11.99,9.30,15.89,12.20,10.56,11.27,11.78,10.00,10.64,7.70,9.97,8.79
25,สุรศักดิ์,แยกใต้ด่วนจันทน์ ถึง แยกมเหสักข์,10.82,12.79,9.08,7.59,7.19,9.55,17.42,13.31,17.68,16.17,9.21,10.23,17.61,12.34,14.12,9.36,10.52,8.13
26,หลานหลวง,แยกยมราช ถึง แยกผ่านฟ้าลีลาศ,16.41,ทางรถมวลชน,19.58,ทางรถมวลชน,22.25,ทางรถมวลชน,17.36,ทางรถมวลชน,25.89,ทางรถมวลชน,21.53,ทางรถมวลชน,19.15,ทางรถมวลชน,21.18,ทางรถมวลชน,15.22,ทางรถมวลชน
27,อรุณอมรินทร์,แยกวงเวียนเล็ก ถึง แยกอรุณอมรินทร์,25.36,16.35,26.56,17.97,24.92,17.45,28.33,21.15,26.57,20.78,36.33,22.54,36.63,24.35,23.89,27.68,23.36,28.29
